CYGSEM_IO_ETH_DRIVERS_WARN, Bool
CYGPKG_IO_SERIAL_GENERIC_16X5X_OPTIONS, Bool
CYGNUM_FS_RAM_BLOCKS_ARRAY_SIZE, Number
CYGPKG_LIBC_STDIO_TESTS, String
CYGPKG_HAL_TESTS, String
CYGNUM_ISO_MQUEUE_PRIO_MAX, String
CYGNUM_IO_SERIAL_I386_PC_SERIAL0_IOBASE, Number
CYGINT_ISO_STDIO_FILEPOS, Number
CYGSEM_KERNEL_INTERRUPTS_DSRS_LIST_FIFO, Bool
CYGCFG_FS_FAT_USE_ATTRIBUTES, Bool
CYGBLD_ISO_STDIO_CHAR_IO_HEADER, String
CYGNUM_IO_SERIAL_I386_PC_SERIAL1_IOBASE, Number
CYGPKG_ISO_PTHREAD, Bool
CYGBLD_ISO_SIGSETJMP_HEADER, String
BUFSIZ, Number
CYGPKG_LIBC_RAND, Bool
CYGBLD_ISO_POSIX_TIMER_TYPES_HEADER, String
CYGPKG_PPP, Bool
CYGDAT_IO_FLASH_BLOCK_FIS_NAME_1, String
CYGNUM_FILEIO_NSTAB_MAX, Number
CYGDBG_INFRA_DEBUG_POSTCONDITIONS, Bool
CYGPKG_SNMPAGENT_OPTIONS, Bool
CYGSEM_LIBC_EXIT_CALLS_FFLUSH, Bool
CYGNUM_LIBC_MAIN_THREAD_PRIORITY, Number
CYGPKG_PPP_DEFAULT_DIALUP_NUMBER, String
CYGINT_LIBC_STARTUP_CONTEXT, Number
CYGPKG_VNC_SERVER_BUILD_KEYBOARD_DRIVER, Bool
CYGNUM_IO_FLASH_BLOCK_CFG_STATIC_ABSOLUTE_2, Bool
CYGPKG_POSIX_UTSNAME, Bool
CYGPKG_DEVICES_WALLCLOCK_DALLAS_DS12887_CFLAGS_REMOVE, String
CYGSEM_LIBC_STDIO_WANT_BUFFERED_IO, Bool
CYGPKG_KERNEL_COUNTERS, Bool
CYGPKG_ISO_SETJMP, Bool
CYGPKG_IO_WATCHDOG_BUILD_INTERACTIVE_TEST, Bool
CYGDBG_INFRA_DEBUG_TRACE_MESSAGE, Bool
CYGPKG_UITRON_INTERRUPT_FUNCTIONS, Bool
CYGDBG_KERNEL_THREADS_STACK_MEASUREMENT_VERBOSE_EXIT, Bool
CYGHWR_NET_DRIVERS, Number
CYGSEM_KERNEL_SYNCH_MUTEX_PRIORITY_INVERSION_PROTOCOL_DYNAMIC, Bool
CYGBLD_ISO_CTYPE_HEADER, String
CYGNUM_IO_SERIAL_I386_PC_SERIAL0_IRQ, Number
CYGPKG_IO_FLASH_BLOCK_DEVICE_1, Bool
CYGNUM_IO_FLASH_BLOCK_LENGTH_2, String
CYGINT_WALLCLOCK_HW_IMPLEMENTATIONS, Number
CYGNUM_HTTPD_THREAD_PRIORITY, Number
CYGOPT_FS_JFFS2_DEBUG, Number
CYGPKG_ISO_LOCALE, Bool
CYGSEM_LIBC_STRING_PER_THREAD_STRTOK, Bool
CYGPKG_KERNEL_API, Bool
CYGPKG_LIBC_STDLIB_TESTS, String
CYGIMP_UITRON_INLINE_FUNCS, Bool
CYGNUM_UITRON_START_TASKS, Number
CYGSEM_KERNEL_EXCEPTIONS_DECODE, Bool
CYGPKG_NET_SNTP_CFLAGS_ADD, String
CYGPKG_PPP_CHAP, Bool
CYGPKG_IO_SERIAL_HALDIAG, Bool
CYGFUN_INFRA_DUMMY_ABORT, Bool
CYGNUM_LIBC_BSEARCH_TRACE_LEVEL, Number
CYGPKG_NET_FREEBSD_STACK_TESTS, String
CYGINT_ISO_STDIO_STREAMS, Number
CYGHWR_NET_DRIVER_ETH0_ADDRS_NETMASK, String
CYGBLD_ISO_PATH_MAX_HEADER, String
CYGPKG_KERNEL_TESTS, String
CYGINT_ISO_POLL, Number
CYGBLD_ISO_PTHREADTYPES_HEADER, String
CYGBLD_ISO_MALLINFO_HEADER, String
CYGSEM_KERNEL_SCHED_BITMAP, Bool
CYGPKG_LIBC_TIME_OPTIONS, Bool
CYGPKG_INFRA, Bool
CYGSEM_HAL_STATIC_MMU_TABLES, Bool
CYGOPT_FS_JFFS2_COMPRESS_RUBIN, Bool
CYGPKG_LIBC_TIME_INLINES, Bool
CYGPKG_IO_ETH_DRIVERS_STAND_ALONE, Bool
CYGNUM_KERNEL_THREADS_DATA_MAX, Number
CYGBLD_ISO_SETJMP_HEADER, String
CYGINT_ISO_STRING_BSD_FUNCS, Number
CYGPKG_NET_CFLAGS_ADD, String
